"CONTRACT_NUMBER","PATH","CONTRACT_ID","STATUS","DOCS_LOADED","DETAIL"
"SOW20250729RS","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250729RS","300000007915003","LOADED","9","9 document(s) uploaded to ContractId 300000007915003."
"SOW20250729RS-AMD3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250729RS-AMD3","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250730-BA-SPMS-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250730-BA-SPMS-RCH","300000007913968","LOADED","6","6 document(s) uploaded to ContractId 300000007913968."
"SOW20250730BCT","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250730BCT","300000007914760","LOADED","3","3 document(s) uploaded to ContractId 300000007914760."
"SOW20250730LA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250730LA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250731CS-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250731CS-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250731CS-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250731CS-2","300000007916025","LOADED","8","8 document(s) uploaded to ContractId 300000007916025."
"SOW20250731SF","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250731SF","300000007916002","LOADED","3","3 document(s) uploaded to ContractId 300000007916002."
"SOW20250801AM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250801AM","300000007916147","LOADED","3","3 document(s) uploaded to ContractId 300000007916147."
"SOW20250801EY","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250801EY","300000007913189","LOADED","6","6 document(s) uploaded to ContractId 300000007913189."
"SOW20250805JP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250805JP","300000007914667","LOADED","4","4 document(s) uploaded to ContractId 300000007914667."
"SOW20250805JS","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250805JS","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250805KJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250805KJ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250805PB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250805PB","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250808MB1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808MB1","300000007913951","LOADED","3","3 document(s) uploaded to ContractId 300000007913951."
"SOW20250808MB1-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808MB1-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250808MB2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808MB2","300000007912971","LOADED","3","3 document(s) uploaded to ContractId 300000007912971."
"SOW20250808MB3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808MB3","300000007913961","LOADED","3","3 document(s) uploaded to ContractId 300000007913961."
"SOW20250808MB3-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808MB3-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250808MB4","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808MB4","300000007914674","LOADED","6","6 document(s) uploaded to ContractId 300000007914674."
"SOW20250808MT","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808MT","300000007914705","LOADED","3","3 document(s) uploaded to ContractId 300000007914705."
"SOW20250808YZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808YZ","300000007914712","LOADED","3","3 document(s) uploaded to ContractId 300000007914712."
"SOW20250808ZZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250808ZZ","300000007913987","LOADED","3","3 document(s) uploaded to ContractId 300000007913987."
"SOW20250811IJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811IJ","300000007912987","LOADED","3","3 document(s) uploaded to ContractId 300000007912987."
"SOW20250811MB1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811MB1","300000007912963","LOADED","6","6 document(s) uploaded to ContractId 300000007912963."
"SOW20250811MB2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811MB2","300000007912955","LOADED","3","3 document(s) uploaded to ContractId 300000007912955."
"SOW20250811MB2-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811MB2-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250811MB3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811MB3","300000007915051","LOADED","3","3 document(s) uploaded to ContractId 300000007915051."
"SOW20250811MB3-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811MB3-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250811PK","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811PK","300000007916009","LOADED","3","3 document(s) uploaded to ContractId 300000007916009."
"SOW20250811RL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250811RL","300000007914660","LOADED","3","3 document(s) uploaded to ContractId 300000007914660."
"SOW20250812MB1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250812MB1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250813","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250813","300000007916090","LOADED","3","3 document(s) uploaded to ContractId 300000007916090."
"SOW20250814DT","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250814DT","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250814DT-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250814DT-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250814MC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250814MC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250815KJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250815KJ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250815KJ2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250815KJ2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250815KJ3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250815KJ3","300000007915044","LOADED","3","3 document(s) uploaded to ContractId 300000007915044."
"SOW20250815RC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250815RC","300000007912947","LOADED","3","3 document(s) uploaded to ContractId 300000007912947."
"SOW20250815ZZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250815ZZ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250818ZZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250818ZZ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250820RL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250820RL","300000007914730","LOADED","3","3 document(s) uploaded to ContractId 300000007914730."
"SOW20250820RL-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250820RL-1","300000007915011","LOADED","3","3 document(s) uploaded to ContractId 300000007915011."
"SOW20250821CS-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250821CS-1","300000007914872","LOADED","10","10 document(s) uploaded to ContractId 300000007914872."
"SOW20250821CS-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250821CS-2","300000007914746","LOADED","7","7 document(s) uploaded to ContractId 300000007914746."
"SOW20250821CS-3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250821CS-3","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
